baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000019996.17	303.588516924698	-4.80511688060353	0.241070544279131	-19.9324098054874	2.1305243533797e-88	3.90036790251025e-86
ENSMUSG00000029449.11	351.101090583461	-3.84167421670454	0.193266030856748	-19.8776484396891	6.3543023848111e-88	1.1530829248648e-85
ENSMUSG00000085925.3	338.05940978646	-3.27191747545407	0.165101180764061	-19.8176503663522	2.0967227545322e-87	3.77173074982675e-85
ENSMUSG00000024965.9	348.98172423606	-5.42022252189013	0.273719019601173	-19.8021406396522	2.85308420377964e-87	5.0880821485853e-85
ENSMUSG00000031075.19	2030.19647550231	-1.83820957469377	0.0937333635868974	-19.6110488768455	1.24439061046693e-85	2.2002315007461e-83
ENSMUSG00000028954.11	2684.50301862772	-1.81336922656994	0.0928361138448755	-19.5330152401682	5.75396528453623e-85	1.00874813424747e-82
ENSMUSG00000092586.8	2363.34689446817	-10.9876466960852	0.56341247106829	-19.5019586187921	1.05657686993909e-84	1.83675678222101e-82
ENSMUSG00000026638.15	451.512115652809	-7.31023420014478	0.379907562356901	-19.2421392056345	1.6428626459954e-82	2.83215829647557e-80
ENSMUSG00000027456.8	288.329412014444	-5.87955090929964	0.305817566383907	-19.2256807835517	2.25658177298075e-82	3.85800885435147e-80
ENSMUSG00000044737.6	429.38251067393	-7.15537266329156	0.372408817165036	-19.2137573910357	2.83951281048377e-82	4.81483618938342e-80
ENSMUSG00000025481.12	243.770183036785	-4.57712391582649	0.239216308015785	-19.1338289341229	1.32012358866754e-81	2.22027615274515e-79
ENSMUSG00000002384.2	247.538329259163	-4.43095457348034	0.232095812528239	-19.0910578058845	2.99640101571224e-81	4.99891514613218e-79
ENSMUSG00000040152.8	93737.2239352442	1.87260916096567	0.0981222494812528	19.0844499679295	3.40037254946358e-81	5.62748055446025e-79
ENSMUSG00000006310.10	295.568810841114	-5.63962346050357	0.295787956954506	-19.066440427698	4.79879094151309e-81	7.87877684183185e-79
ENSMUSG00000030168.13	2442.9549221936	-2.07841262076463	0.109202505008225	-19.0326460057679	9.15130674837236e-81	1.49065419451637e-78
ENSMUSG00000027377.2	378.071933854935	-7.05251721574469	0.370808938171805	-19.0192751299784	1.18105048677937e-80	1.90878057968787e-78
ENSMUSG00000052180.15	292.04907955386	-4.6998128161434	0.247504190453171	-18.9888211894038	2.11012288004046e-80	3.38388465266643e-78
ENSMUSG00000033491.13	657.725884900306	-2.68504131706119	0.141695403517294	-18.9493889738878	4.46740358443457e-80	7.10901368855369e-78
ENSMUSG00000025085.16	1460.71532535585	-2.09037517189573	0.110373900717455	-18.9390350282796	5.43847272282987e-80	8.58822024558638e-78
ENSMUSG00000034382.14	236.020316127389	-4.14740910590306	0.219784032314846	-18.8703840866919	1.99840761522266e-79	3.1318983587963e-77
ENSMUSG00000042367.12	551.453970347507	-3.1587468216854	0.167607468129174	-18.8460983090024	3.16330823293926e-79	4.92025243720409e-77
ENSMUSG00000003283.15	351.127929622616	-3.50776895300748	0.187071295328478	-18.7509737763252	1.90078551691153e-78	2.93444402898126e-76
ENSMUSG00000098678.1	270.808153713485	-5.94901141233268	0.318799370178397	-18.6606749222988	1.03416750034728e-77	1.58472763553216e-75
ENSMUSG00000035852.11	755.126174703286	-8.82530567554866	0.472996834709817	-18.6582763940968	1.08164155800317e-77	1.64528815517733e-75
ENSMUSG00000036473.16	1493.57232919081	-1.85073298552524	0.0993858367630263	-18.6216974752458	2.143117771352e-77	3.23610783474152e-75
ENSMUSG00000027544.16	366.337687002307	-7.09613481873639	0.382724406119767	-18.5411087071248	9.6217519368637e-77	1.44235639360797e-74
ENSMUSG00000031298.15	1967.55470258852	1.9519660729315	0.1054730793633	18.5067704926676	1.82095911891752e-76	2.71008498511127e-74
ENSMUSG00000026450.14	354.23691097089	-7.04761262374869	0.381755975230426	-18.4610407721707	4.25071389504894e-76	6.28103702477696e-74
ENSMUSG00000028111.4	1432.82971643427	1.72441912804728	0.0936553690235136	18.4123894446921	1.04508272235179e-75	1.53330682817669e-73
ENSMUSG00000023092.16	1690.77992558806	1.72116893175734	0.0935885998188244	18.3907969035684	1.55674916063951e-75	2.26792041451757e-73
ENSMUSG00000047501.3	1465.31094673592	-10.2982817543581	0.5606857415251	-18.3672973854234	2.40072234847555e-75	3.4729890365674e-73
ENSMUSG00000087166.9	1521.61176567075	-10.3511136960718	0.563641870472303	-18.364699711535	2.51838836263198e-75	3.61790972623387e-73
ENSMUSG00000020782.18	792.437470233774	-3.3165440317912	0.180738096777916	-18.3499997560915	3.30113868433958e-75	4.70970041123676e-73
ENSMUSG00000006342.15	314.47926330079	-3.448824424304	0.18873958723286	-18.2729255418417	1.35962415272206e-74	1.9264756744768e-72
ENSMUSG00000033361.13	581.554295101117	-2.41385001968841	0.132193714642417	-18.2599454612337	1.7246334048056e-74	2.42704022076282e-72
ENSMUSG00000039621.13	359.960860957084	-3.67954153157588	0.202472135957584	-18.1730760836479	8.43349999886802e-74	1.17880955727421e-71
ENSMUSG00000014846.12	534.473138266622	-3.64941021698366	0.200910833796312	-18.164327667285	9.89112484255006e-74	1.37327315179754e-71
ENSMUSG00000031803.8	247.898080414719	-5.60872540542874	0.309854912132845	-18.1011343884201	3.12171855501197e-73	4.30526611650217e-71
ENSMUSG00000000120.6	240.804165631987	-5.29589959624781	0.292824030824307	-18.0856044544559	4.13805411936041e-73	5.66913414352377e-71
ENSMUSG00000051375.15	328.552355062886	-2.84337710051428	0.157853181799232	-18.0127956123854	1.54618629023932e-72	2.10433919645926e-70
ENSMUSG00000028581.17	347.494898988406	-7.11307568110501	0.395180826336509	-17.9995465545385	1.96420499250272e-72	2.65578488103946e-70
ENSMUSG00000024529.14	35328.1678451143	1.57646653799997	0.0879509589800449	17.9243814539606	7.60921147935884e-72	1.02215427190582e-69
ENSMUSG00000027220.2	951.097804831588	2.22323122981259	0.124084361704241	17.9170944612	8.67419015546001e-72	1.15769659190969e-69
ENSMUSG00000051076.8	213.858031538754	-4.72070879820518	0.263637769545993	-17.9060413321454	1.05797748481847e-71	1.40297309156664e-69
ENSMUSG00000020173.17	704.985315876556	-2.18485899442746	0.122047999651677	-17.9016370662609	1.14505973354101e-71	1.50878029985751e-69
ENSMUSG00000021895.10	527.850645719192	-2.53548757994794	0.14178313655562	-17.8828571686542	1.60402248472441e-71	2.1001527304743e-69
ENSMUSG00000073722.3	562.589176569115	-8.25880455864546	0.462068830223794	-17.8735374871434	1.895820465104e-71	2.46659358249097e-69
ENSMUSG00000026981.15	4900.71690005775	1.67999016952324	0.0940088275666216	17.8705576168651	1.99985323785752e-71	2.5856852457224e-69
ENSMUSG00000042306.11	674.286552526765	-8.66030219048674	0.486266421929415	-17.8097886260052	5.93334622591932e-71	7.6237971040741e-69
ENSMUSG00000011179.8	2561.67896993125	-1.5333286937864	0.0861039422782937	-17.8078802574518	6.13911536459186e-71	7.83949873748838e-69
ENSMUSG00000000889.8	230.113871977143	-5.19120426795914	0.292591827209684	-17.7421369471092	1.9825007621876e-70	2.51607320658741e-68
